Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.7,9.1,7.3,22879,6703,16177
Total_Male,6.5,9.7,5.4,9485,3660,5825
Total_Female,8.9,8.5,9,13394,3043,10351
White,7.6,7.4,7.7,15012,3142,11870
White_Male,6.3,7.4,5.9,6018,1595,4423
White_Female,9,7.5,9.3,8994,1547,7447
Black,10.2,15.5,7.9,3785,1754,2031
Black_Male,9.2,17.4,5.2,1592,987,605
Black_Female,11,13.7,10,2193,767,1426
Hispanic,6.8,9.3,5.6,3086,1422,1664
Hispanic_Male,5.9,11,3.4,1373,858,515
Hispanic_Female,7.8,7.5,7.9,1713,565,1149
Other,5.7,8.3,4.8,996,384,612
Other_Male,5.9,9.2,4.6,502,220,282
Other_Female,5.6,7.4,5,494,164,330
PuertoRican,14.1,14.8,13.8,621,205,416
PuertoRican_Male,9.7,18.9,5.6,209,126,83
PuertoRican_Female,18.4,11.1,21.8,413,79,333
Mexican,5.8,8.5,4.3,1680,896,784
Mexican_Male,4.6,9,2.3,696,478,218
Mexican_Female,7.1,8,6.6,983,418,565
